assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,30,100,100,1,0.84,206325,None,,0,0,-2,2,4.9,354,116,None,,0,2,0.7,1.2,1,0.05,0.04,0.05,0.04,0.00,0.83,0.7,0.0,Oleksandr,0.2,351,117,0,0.0,0,1.8,394,131,25,False,7.2,391,138,107,,2024-09-15T23:00:06.018330Z,48,305,33,0,0,None,0,,206325.jpg,2.7,150,45,0,225,0,0.0,Zinchenko,1.0,198,74,False,None,1,0.84,a,1,3,6.0,326,107,8,76978,102,276954,186,0.0,1.7,Zinchenko,0
0,0,30,100,100,0,0.0,69752,None,,0,0,-2,2,0.0,500,45,None,,0,1,0.5,1.0,0,0.00,0.0,0.00,0.0,0.00,2.91,1.46,0.0,Norberto,0.0,462,59,2,1.0,0,7.8,310,22,73,False,77.8,217,22,180,,2024-10-05T17:30:06.760449Z,43,535,34,0,0,None,0,,69752.jpg,3.5,72,9,0,30,11,5.5,Murara Neto,1.1,195,28,False,None,2,1.0,a,1,3,0.0,462,37,7,80321,23,206492,315,0.0,1.6,Neto,0
0,0,10,0,None,0,0.0,103955,None,,0,0,-3,3,15.9,300,175,None,,0,3,0.0,1.5,0,0.05,0.04,0.38,0.29,0.33,0.59,0.44,0.25,Raheem,0.5,326,160,1,0.74,0,6.7,324,160,186,False,4.8,401,195,121,Ineligible to face his parent club on 10/11. - Expected back 23 Nov,2024-11-02T15:00:07.534992Z,67,36,19,0,0,None,0,,103955.jpg,1.0,413,208,0,241,0,0.0,Sterling,1.0,205,65,False,None,2,1.49,n,1,3,47.0,178,105,4,44056,62,134327,494,0.1,0.6,Sterling,0
0,1,60,0,0,0,0.0,466075,None,,0,0,-2,2,42.8,218,57,None,,1,2,0.0,0.0,0,0.41,0.1,0.91,0.22,0.50,4.97,1.16,0.12,Riccardo,0.8,284,88,6,1.41,1,26.2,154,40,578,False,119.8,150,60,384,Knee injury - Expected back 23 Nov,2024-10-23T08:00:07.835459Z,58,94,8,0,0,None,0,,466075.jpg,2.3,188,58,0,106,0,0.0,Calafiori,1.6,163,60,False,None,4,0.94,i,1,3,100.0,91,8,14,164831,18,288664,2158,0.1,2.4,Calafiori,1
0,0,5,None,None,0,0.0,499169,None,,0,0,0,0,0.4,400,212,None,,0,3,0.7,1.2,0,0.00,0.0,0.00,0.0,0.00,0.80,4.8,0.0,Myles,0.2,341,164,2,12.0,0,0.6,422,208,597,False,3.2,414,201,15,,None,45,432,261,0,0,None,0,,499169.jpg,0.5,439,220,0,241,0,0.0,Lewis-Skelly,0.1,492,187,False,None,0,0.0,a,1,3,2.0,356,195,1,6779,26,5475,30,0.0,0.2,Lewis-Skelly,1
0,1,54,100,100,0,0.0,195384,None,,0,0,0,0,41.5,221,139,None,,0,3,3.5,4.0,1,0.31,0.11,1.23,0.43,0.92,3.52,1.22,0.32,Mikel,3.0,80,31,5,1.74,1,15.8,237,115,633,False,77.8,218,92,259,,2024-08-30T13:30:05.886390Z,60,80,52,0,0,None,0,,195384.jpg,3.0,121,45,0,200,0,0.0,Merino,0.1,428,154,False,None,3,1.04,a,1,3,38.0,199,115,12,13657,376,3539,224,0.5,2.0,Merino,1
0,0,0,None,None,0,0,498046,None,,0,0,0,0,0.0,586,256,None,,0,3,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Salah-Eddine,0.0,554,226,0,0,0,0.0,589,253,638,False,0.0,586,250,0,,None,45,431,260,0,0,None,0,,498046.jpg,0.0,593,257,0,152,0,0,Oulad M'hand,0.0,615,270,False,None,0,0,a,1,3,0.0,561,242,0,1608,5,983,9,0.0,0.0,Oulad M'hand,0
0,0,0,None,None,0,0,551221,None,,0,0,0,0,0.0,601,65,None,,0,1,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,572,71,0,0,0,0.0,604,71,639,False,0.0,601,71,0,,None,45,454,18,0,0,None,0,,551221.jpg,0.0,608,71,0,241,0,0,Setford,0.0,562,67,False,None,0,0,a,1,3,0.0,577,60,0,1879,6,1522,13,0.0,0.0,Setford,0
0,0,0,None,None,0,0,588793,None,,0,0,0,0,0.0,493,186,None,,0,2,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,452,167,0,0,0,0.0,509,186,657,False,0.0,506,186,0,,None,40,660,210,0,0,None,0,,588793.jpg,0.0,515,185,0,2,0,0,Kacurri,0.1,496,181,False,None,0,0,a,1,3,0.0,452,169,0,6826,27,3261,42,0.0,0.0,Kacurri,0
0,0,0,None,None,0,0,606745,None,,0,0,0,0,0.0,495,188,None,,0,2,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ayden,0.0,454,169,0,0,0,0.0,511,188,658,False,0.0,508,188,0,,None,40,662,212,0,0,None,0,,606745.jpg,0.0,517,187,0,241,0,0,Heaven,0.0,527,186,False,None,0,0,a,1,3,0.0,454,171,0,4278,22,2147,36,0.0,0.0,Heaven,0
