first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK
Francisco Evanilson,de Lima Barbosa,3,1,36,615,8,64.0,88.4,171.0,6,134,32.2,4,0,0,0.6,59,FWD
Kristoffer,Ajer,0,0,7,637,12,40.6,71.8,47.0,0,23,15.9,0,0,3,0.3,45,DEF
Ethan,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Nathan,Collins,1,3,27,810,18,34.0,283.0,156.0,1,105,47.3,0,0,1,2.4,45,DEF
Mikkel,Damsgaard,0,3,29,628,12,255.3,180.6,93.0,3,150,53.0,1,0,0,0.6,50,MID
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Mark,Flekken,0,0,24,810,18,0.1,365.4,0.0,0,128,36.4,0,0,0,12.3,45,GK
Rico,Henry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Aaron,Hickey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Vitaly,Janelt,0,2,24,724,17,114.0,120.6,33.0,0,152,26.9,1,0,1,0.2,49,MID
Mathias,Jensen,0,1,10,250,4,100.6,40.6,5.0,1,44,14.7,0,0,1,0.1,53,MID
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF
Yunus Emre,Konak,0,0,3,17,2,1.5,1.2,3.0,0,4,0.4,0,0,0,0.1,45,MID
Keane,Lewis-Potter,0,3,24,601,15,91.7,113.8,126.0,0,103,33.1,0,0,1,0.1,50,MID
Bryan,Mbeumo,8,0,68,809,18,281.5,371.4,246.0,12,280,90.0,0,0,2,40.6,78,MID
Ben,Mee,0,0,1,1,0,0.1,0.0,0.0,0,3,0.0,0,0,0,0.5,43,DEF
Christian,Nørgaard,1,0,17,603,12,63.5,131.4,78.0,0,122,27.4,0,0,2,0.2,48,MID
Frank,Onyeka,0,0,2,23,0,0.5,0.0,0.0,0,3,0.0,0,0,0,0.0,49,MID
Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ethan,Pinnock,2,0,21,810,18,50.4,270.6,163.0,0,97,48.4,0,0,1,1.3,45,DEF
Mads,Roerslev Rasmussen,0,1,12,354,9,79.2,64.8,11.0,0,29,15.6,0,0,0,0.1,44,DEF
Kevin,Schade,0,1,17,457,8,31.6,45.8,121.0,0,44,19.9,1,0,0,0.1,52,MID
