id,xP
626,0.0
671,0.0
672,0.0
675,0.0
364,6.2
365,0.0
366,9.5
367,0.0
368,2.0
369,2.5
370,0.8
371,0.5
372,2.8
373,0.0
374,0.0
375,2.0
376,0.1
377,0.1
378,0.5
379,0.0
380,3.0
381,0.0
382,0.5
383,5.0
384,0.0
385,6.2
387,0.5
389,4.0
572,0.0
593,2.8
594,3.2
613,0.0
648,0.0
652,1.5
667,0.0
670,0.0
673,0.0
390,0.0
391,0.0
392,3.3
393,0.0
394,1.5
395,1.7
396,0.0
398,3.0
399,1.7
400,0.0
401,4.7
402,0.3
403,4.7
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,1.7
410,2.3
411,0.0
412,0.0
413,2.0
414,0.0
415,1.7
416,0.0
417,2.3
418,0.3
419,0.0
420,1.3
421,0.3
574,0.0
590,0.3
26,1.0
422,3.0
423,1.0
424,1.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,1.7
432,1.7
433,0.8
434,2.0
435,0.0
436,5.0
437,2.3
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,3.3
444,0.0
446,0.0
447,4.0
448,0.0
449,1.7
531,1.0
573,2.7
596,2.7
620,1.0
653,0.3
14,0.0
27,1.2
188,-0.2
397,0.5
450,0.0
451,-0.5
452,0.8
453,4.2
454,0.0
455,0.0
456,-0.5
457,-0.5
458,0.0
459,0.0
460,-0.5
461,0.2
462,-0.2
463,0.0
464,0.0
465,0.0
466,0.5
467,0.5
468,0.0
469,0.5
470,0.1
471,0.0
472,0.8
473,0.0
474,0.8
475,-0.5
476,0.2
477,-0.5
515,-0.5
518,2.2
584,0.2
608,0.8
623,3.2
82,6.3
478,0.0
479,0.5
480,0.0
481,1.0
482,2.0
483,0.0
484,2.7
485,0.0
486,3.3
487,0.0
488,1.3
489,1.0
490,0.0
491,7.0
492,4.0
493,0.0
494,6.7
495,5.7
496,0.5
497,0.0
498,0.5
499,2.5
500,0.0
502,0.0
503,4.0
504,0.7
505,3.3
506,0.0
507,0.0
508,0.0
509,3.5
510,0.5
609,0.7
610,0.0
612,0.0
683,0.5
684,0.5
689,1.6
388,8.0
511,-0.7
512,1.0
513,-1.0
514,3.0
516,-0.3
517,-1.0
519,0.0
520,5.7
521,3.7
522,-1.0
523,0.0
524,3.0
525,0.0
526,-0.7
527,2.7
528,-0.7
529,0.0
530,3.7
532,0.0
576,-0.3
587,1.0
588,0.7
