name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Amario Cozier-Duberry,MID,Brighton,0.0,0,0,0,0,0.0,118,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,4135,0,1,2,0.0,0,-263,0,263,45,False,0
Andreas Hoelgebaum Pereira,MID,Fulham,2.8,0,0,0,0,0.0,240,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,177393,0,,,0.0,0,-10200,7566,17766,53,True,0
Andrew Moran,MID,Brighton,0.0,0,0,0,0,0.0,601,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,320,0,1,2,0.0,0,-7,0,7,50,False,0
Andrew Omobamidele,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,440,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,19,0,0,0,0,10,0,5687,0,0,3,0.0,0,-122,42,164,43,True,0
Andrew Robertson,DEF,Liverpool,2.0,0,0,0,0,0.0,335,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,589982,0,1,2,0.0,0,-36849,17126,53975,60,True,0
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,0,0.0,150,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,360,0,,,0.0,0,-6,0,6,45,False,0
André Onana,GK,Man Utd,1.7,0,0,0,0,0.0,383,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,757291,0,,,0.0,0,-8441,30721,39162,50,True,0
André Trindade da Costa Neto,MID,Wolves,0.8,0,0,0,0,0.0,642,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,2278,0,2,2,0.0,0,-13,219,232,50,True,0
Andy Irving,MID,West Ham,0.2,0,0,6,0,0.0,576,0.00,0.00,0.00,0.36,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,11,16,0,0,0,0,10,0,2603,0,0,3,0.0,1,-34,49,83,48,False,0
Anthony Elanga,MID,Nott'm Forest,2.2,0,0,10,1,0.0,432,0.09,0.09,0.00,0.08,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,62,19,0,0,0,0,10,0,90909,1,0,3,0.0,3,-1874,5761,7635,52,True,0
Anthony Gordon,MID,Newcastle,1.2,1,0,24,1,0.0,398,0.16,0.16,0.00,0.74,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,84,1,0,0,0,0,10,0,892404,1,0,1,0.0,6,-135108,17578,152686,72,True,0
Antoine Semenyo,MID,Bournemouth,2.0,0,0,47,0,0.0,78,0.03,0.59,0.56,1.80,91,1,1,0.0,0.0,2024-11-02T15:00:00Z,90,13,0,0,0,0,10,0,771408,1,1,2,0.0,7,-114829,24148,138977,56,True,0
Antonee Robinson,DEF,Fulham,1.0,0,0,0,0,0.0,255,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,1648624,0,,,0.0,0,3926,60348,56422,47,True,0
Antony Matheus dos Santos,MID,Man Utd,-0.1,0,0,0,0,0.0,365,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,21341,0,,,0.0,0,-1878,113,1991,57,True,0
Archie Gray,MID,Spurs,0.7,0,0,0,0,0.0,489,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,15332,0,,,0.0,0,-192,756,948,47,True,0
Arijanet Muric,GK,Ipswich,2.2,0,0,8,0,0.0,568,0.00,0.00,0.00,1.95,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,11,0,0,0,0,10,4,128439,1,1,1,0.0,2,-2606,5638,8244,44,True,1
Armando Broja,FWD,Everton,0.0,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,17,0,0,0,0,10,0,5647,0,0,1,0.0,0,-207,33,240,54,False,0
Armel Bella-Kotchap,DEF,Southampton,-0.5,0,0,0,0,0.0,456,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,8,0,0,0,0,10,0,49414,0,0,1,0.0,0,2048,4587,2539,39,True,0
Asher Agbinone,MID,Crystal Palace,0.2,0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,4570,0,2,2,0.0,0,99,430,331,45,False,0
Ashley Phillips,DEF,Spurs,0.0,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,23949,0,,,0.0,0,-954,0,954,40,True,0
Ashley Young,DEF,Everton,5.5,0,0,6,0,0.0,238,0.04,0.04,0.00,0.69,98,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,17,0,0,0,0,10,0,130271,1,0,1,0.0,2,57104,60867,3763,45,False,0
Asmir Begovic,GK,Everton,0.5,0,0,0,0,0.0,624,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,17,0,0,0,0,10,0,27774,0,0,1,0.0,0,268,945,677,40,False,0
Axel Disasi,DEF,Chelsea,0.5,0,0,0,0,0.0,167,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,32146,0,,,0.0,0,-1471,818,2289,43,False,0
Axel Tuanzebe,DEF,Ipswich,0.0,0,0,0,0,0.0,282,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,271576,0,1,1,0.0,0,-32835,677,33512,40,True,0
Ayden Heaven,DEF,Arsenal,1.0,0,0,0,0,0.0,658,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,15,0,0,0,0,10,0,4578,0,0,1,0.0,0,144,443,299,40,False,0
